distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
381.6993,381.70 kilómetros,1,-34.6479782,-58.5063272,1532 - MATADEROS,15-1-1532,Autoservicio,AR-C,Av Cnel.M.Larrazabal 919 (Mataderos) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,1532
381.706,381.71 kilómetros,1,-34.626433,-58.382215,CONSTITUCION ,12-1-19,Supermercado,AR-C,Lima 1553,COTO CICSA,Constitucion,Coto Centro Integral de Comercialización S.A.,12,19
381.7177,381.72 kilómetros,1,-34.637993,-58.451847,737 - FLORES,15-1-737,Autoservicio,AR-C,Av. Eva Peron 2162 None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,737
381.7212,381.72 kilómetros,1,-34.627,-58.3866,Garay,23-1-6237,Autoservicio,AR-C,Av. Garay 1302,Axion Energy,Ciudad Autonoma de Buenos Aires,Pan American Energy LLC Argentina,23,6237
381.7213,381.72 kilómetros,1,-34.6380873,-58.4525728,AV.DEL TRABAJO ,12-1-40,Supermercado,AR-C,Av. Eva Peron 2202,COTO CICSA,Flores Sur,Coto Centro Integral de Comercialización S.A.,12,40
381.7548,381.75 kilómetros,1,-34.626407,-58.384838,778 - CONSTITUCIÓN,15-1-778,Autoservicio,AR-C,Pavon 1324 None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,778
381.7585,381.76 kilómetros,1,-34.6358296,-58.4415417,ASAMBLEA ,12-1-151,Supermercado,AR-C,Asamblea 1100,COTO CICSA,Parque Chacabuco,Coto Centro Integral de Comercialización S.A.,12,151
381.7678,381.77 kilómetros,1,-34.6333148,-58.4273412,448 - BOEDO,15-1-448,Autoservicio,AR-C,Av La Plata 1570 (Boedo) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,448
381.7683,381.77 kilómetros,3,-34.624098,-58.371153,Defensa 1400,10-3-570,Autoservicio,AR-C,Defensa 1400,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,570
381.771,381.77 kilómetros,1,-34.6351629,-58.4383403,29 - BOEDO,15-1-29,Autoservicio,AR-C,Cl Asamblea 968,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,29
381.7755,381.78 kilómetros,3,-34.650917,-58.525740,Montiel 1061,10-3-625,Autoservicio,AR-C,Montiel 1061,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,625
381.7773,381.78 kilómetros,2,-34.63475,-58.43627,ASAMBLEA [Av. Asamblea 826/8],24-2-136,Supermercado,AR-C,Av. Asamblea 826/ 8,FARMACITY,Capital Federal,Farmacity S.A.,24,136
381.7911,381.79 kilómetros,2,-34.632775,-58.425422,Vernet [Av. La Plata 1541/47/51/55],24-2-192,Supermercado,AR-C,Av. La Plata 1541/47/51/ 55,FARMACITY,Capital Federal,Farmacity S.A.,24,192
381.7915,381.79 kilómetros,1,-34.6433297,-58.485646,533 - PARQUE AVELLANEDA,15-1-533,Autoservicio,AR-C,Medina 715 (Parque Avellaneda) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,533
381.7958,381.80 kilómetros,1,-34.628376,-58.399276,754 - SAN CRISTÓBAL,15-1-754,Autoservicio,AR-C,Avjuan De Garay 2435 None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,754
381.7969,381.80 kilómetros,1,-34.628905,-58.402557,JUAN DE GARAY ,12-1-7,Supermercado,AR-C,Av. J. De Garay 2700,COTO CICSA,Parque Patricios,Coto Centro Integral de Comercialización S.A.,12,7
381.8138,381.81 kilómetros,3,-34.634333,-58.435797,Centenera 1282,10-3-572,Autoservicio,AR-C,Centenera 1282,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,572
381.8186,381.82 kilómetros,1,-34.664628,-58.597356,San Justo,10-1-12,Hipermercado,AR-B,Av. Don Bosco 2680,Hipermercado Carrefour,San Justo,INC S.A.,10,12
381.8226,381.82 kilómetros,1,-34.6253767,-58.3823011,339 - CONSTITUCIÓN,15-1-339,Autoservicio,AR-C,Lima 1457,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,339
381.8586,381.86 kilómetros,1,-34.626499,-58.391304,614 - SAN CRISTÓBAL,15-1-614,Autoservicio,AR-C,Av Entre Rios 1525,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,614
381.8659,381.87 kilómetros,1,-34.628733,-58.405357,663 - CAPITAL FEDERAL,15-1-663,Autoservicio,AR-C,Av Chiclana 3174,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,663
381.8766,381.88 kilómetros,1,-34.6338144,-58.4361472,579 - PARQUE CHACABUCO,15-1-579,Autoservicio,AR-C,Del Barco Centenera 1246 (Parque Chacabuco) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,579
381.8959,381.90 kilómetros,1,-34.6436537,-58.4927124,56 - VILLA LURO,15-1-56,Autoservicio,AR-C,Cl Juan B. Alberdi 4730,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,56
381.9072,381.91 kilómetros,1,-34.630292,-58.4170172,742 - PARQUE CHACABUCO,15-1-742,Autoservicio,AR-C,Pavon 3743,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,742
381.9179,381.92 kilómetros,1,-34.6355448,-58.4483758,262 - PARQUE CHACABUCO,15-1-262,Autoservicio,AR-C,Av Eva Peron 1790,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,262
381.9235,381.92 kilómetros,3,-34.640941,-58.479166,Directorio 3960,10-3-600,Autoservicio,AR-C,Directorio 3960,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,600
381.9295,381.93 kilómetros,1,-34.638538,-58.46603,628 - CAPITAL FEDERAL,15-1-628,Autoservicio,AR-C,Av San Pedrito 662,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,628
381.9296,381.93 kilómetros,1,-34.632718,-58.432586,647 - CAPITAL FEDERAL,15-1-647,Autoservicio,AR-C,Av Jose Maria Moreno 1216,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,647
381.9551,381.96 kilómetros,1,-34.6441987,-58.4986633,515 - MATADEROS,15-1-515,Autoservicio,AR-C,Av Emilio Castro 5266 (Mataderos) None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,515
