distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
428.2625,428.26 kilómetros,1,-28.642593,-65.130548,SGES-FRIAS-SM-MU,2011-1-242,Autoservicio,AR-G,Granaderos De San Martin 425,Musimundo,FRIAS,Electronica Megatone S.A,2011,242
440.4145,440.41 kilómetros,1,-28.5549,-66.8173,BAZAR AVENIDA SA - Aimogasta,2008-1-366,Tradicional,AR-F,25 De Mayo 766,MEGATONE,Aimogasta,BAZAR AVENIDA S.A.,2008,366
481.4753,481.48 kilómetros,1,-28.4608,-62.8349,BAZAR AVENIDA SA - Añatuya,2008-1-369,Tradicional,AR-G,Av. 25 De Mayo Norte 9,MEGATONE,Anatuya,BAZAR AVENIDA S.A.,2008,369
498.4798,498.48 kilómetros,1,-29.27341,-65.062183,CATA-RECREO-BELG-MU,2011-1-223,Autoservicio,AR-K,Avda Belgrano 345,Musimundo,RECREO,Electronica Megatone S.A,2011,223
500.125,500.12 kilómetros,1,-25.949710,-60.617061,CHA - J J Castelli - Av S Martin,2009-1-6,Supermercado,AR-H,Av. San Martin Y Dr. Vazquez None,CETROGAR,Castelli,CETROGAR  S.A,2009,6
500.2696,500.27 kilómetros,1,-25.944700,-60.614214,Castelli,2000-1-327,Tienda Fisica,AR-H,San Martin 980,MUSIMUNDO,CASTELLI,CARSA SA,2000,327
501.5611,501.56 kilómetros,1,-27.217363,-61.191368,Charata 2,2000-1-645,Tienda Fisica,AR-H,Guemes 45,MUSIMUNDO,CHARATA,CARSA SA,2000,645
501.6128,501.61 kilómetros,1,-27.217539,-61.190878,CHA - Charata - Guemes ,2009-1-12,Supermercado,AR-H,Guemes 83,CETROGAR,Charata,CETROGAR  S.A,2009,12
503.3317,503.33 kilómetros,1,-27.086856,-61.084852,CHA - Las Breñas - Av San Martin ,2009-1-53,Supermercado,AR-H,Av. San Martin 958,CETROGAR,Las Brenas,CETROGAR  S.A,2009,53
503.7596,503.76 kilómetros,1,-27.088930,-61.081220,Las Breñas,2000-1-8,Tienda Fisica,AR-H,Av.Jones 802,MUSIMUNDO,LAS BREÑAS,CARSA SA,2000,8
527.2565,527.26 kilómetros,1,-29.1629,-67.4952,BAZAR AVENIDA SA - Chilecito,2008-1-180,Tradicional,AR-F,La Plata 105,MEGATONE,Chilecito,BAZAR AVENIDA S.A.,2008,180
527.3639,527.36 kilómetros,1,-29.16426,-67.494409,RIOJ-CHILECITO-CASTRO-MU,2011-1-134,Autoservicio,AR-F,Domingo De Castro Y Bazan 18,Musimundo,CHILECITO,Electronica Megatone S.A,2011,134
530.0774,530.08 kilómetros,1,-26.340307,-60.429998,CHA - Tres Isletas - Paraguay,2009-1-2,Supermercado,AR-H,Paraguay 451,CETROGAR,Tres Isletas,CETROGAR  S.A,2009,2
530.2365,530.24 kilómetros,1,-26.338198,-60.427577,Tres Isletas 1.,2000-1-465,Tienda Fisica,AR-H,25 De Mayo 300,MUSIMUNDO,TRES ISLETAS,CARSA SA,2000,465
