distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
809.4499,809.45 kilómetros,1,-24.7814935,-65.4143692,8005 - SALTA,15-1-8005,Autoservicio,AR-A,25 De Mayo 652 None,Supermercados DIA,SALTA,DIA Argentina S.A,15,8005
809.5235,809.52 kilómetros,1,-38.82372106855116,-68.06926095494418,Cinco Saltos II,13-1-83,Supermercado,AR-R,Av. Cipolletti 210,Cooperativa Obrera Limitada de Consumo y Vivienda,Cinco Saltos,Cooperativa Obrera Limitada de Consumo y Vivienda,13,83
809.5552,809.56 kilómetros,1,-38.824017331886154,-68.06949687170714,Cinco Saltos,13-1-58,Supermercado,AR-R,Av. Roca 998,Cooperativa Obrera Limitada de Consumo y Vivienda,Cinco Saltos,Cooperativa Obrera Limitada de Consumo y Vivienda,13,58
809.5896,809.59 kilómetros,1,-38.827330,-68.144410,CENTENARIO 1,2-1-213,Supermercado,AR-Q,Avenida Del Libertador 75,La Anonima,Centenario,S.A. Importadora y Exportadora de la Patagonia,2,213
809.6145,809.61 kilómetros,1,-24.769449,-65.443309,810 - SALTA,15-1-810,Autoservicio,AR-A,Av Savio Esq. Juan Domingo Peron None,Supermercados DIA,SALTA,DIA Argentina S.A,15,810
809.6736,809.67 kilómetros,1,-38.827336073551486,-68.12438079712592,Centenario 7,13-1-96,Supermercado,AR-Q,Ballester 383,Cooperativa Obrera Limitada de Consumo y Vivienda,Centenario,Cooperativa Obrera Limitada de Consumo y Vivienda,13,96
809.7351,809.74 kilómetros,2,-24.782370,-65.40435,SALPeatonal [Alberdi 84],24-2-111,Supermercado,AR-A,Alberdi 84,FARMACITY,Salta,Farmacity S.A.,24,111
809.7776,809.78 kilómetros,1,-38.8260671,-68.0705055,Cinco Saltos,2005-1-66,Autoservicio,AR-R,San Martin 725,Naldo,Cinco Saltos,Naldo Lombardi SA,2005,66
809.7987,809.80 kilómetros,1,-38.82867754894124,-68.12996515596751,Centenario 2,13-1-70,Supermercado,AR-Q,Ingeniero Ballester 740,Cooperativa Obrera Limitada de Consumo y Vivienda,Centenario,Cooperativa Obrera Limitada de Consumo y Vivienda,13,70
809.8019,809.80 kilómetros,1,-38.829058721432936,-68.13936831736544,Centenario 6,13-1-95,Supermercado,AR-Q,Canadá 835,Cooperativa Obrera Limitada de Consumo y Vivienda,Centenario,Cooperativa Obrera Limitada de Consumo y Vivienda,13,95
809.8682,809.87 kilómetros,2,-24.781376,-65.403533,SALNoa [Av. Virrey Toledo 702],24-2-129,Autoservicio,AR-A,Av. Virrey Toledo 702,FARMACITY,Salta,Farmacity S.A.,24,129
809.9164,809.92 kilómetros,1,-24.781000,-65.403282,ALTO NOA SALTA,2003-1-7540,Tradicional,AR-A,Avenida Del Bicentenario De La Batalla De Salta 702,Samsung,SALTA,GMRA S.A.,2003,7540
809.928,809.93 kilómetros,1,-24.7767,-65.4148,Salta IV.,9-1-657,Supermercado,AR-A,Avenida Sarmiento Y O´Higgins 0,Vea,SALTA,Jumbo Retail Argentina S.A.,9,657
809.9476,809.95 kilómetros,1,-24.781285,-65.401667,Salta III,10-1-171,Hipermercado,AR-A,Av. Bicentenario Batalla De Salta 702,Hipermercado Carrefour,Salta,INC S.A.,10,171
809.9789,809.98 kilómetros,1,-24.7779849,-65.4099025,1800 - SALTA,15-1-1800,Autoservicio,AR-A,Mitre 960 (Salta Capital) None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1800
810.0042,810.00 kilómetros,1,-24.78025,-65.40300,SALTA,19-1-03330,Autoservicio,AR-A,Virrey Toledo Y Roldan 0,FULL,SALTA,Operadora de Estaciones de Servicios S.A.,19,03330
810.0654,810.07 kilómetros,2,-24.777182,-65.409803,Ameghino [Calle ameghino 593/95/97/,24-2-251,Autoservicio,AR-A,Calle Ameghino 593/95/ 97,FARMACITY,Salta,Farmacity S.A.,24,251
810.0795,810.08 kilómetros,1,-24.7789448,-65.4045791,811 - SALTA,15-1-811,Autoservicio,AR-A,Vicente Lopez Esq. Necochea None,Supermercados DIA,SALTA,DIA Argentina S.A,15,811
810.0953,810.10 kilómetros,1,-38.828791217891784,-68.0672441131901,Cinco Saltos III,13-1-116,Autoservicio,AR-R,Rivadavia 350,Cooperativa Obrera Limitada de Consumo y Vivienda,Cinco Saltos,Cooperativa Obrera Limitada de Consumo y Vivienda,13,116
810.0979,810.10 kilómetros,1,-38.828960,-68.070580,CINCO SALTOS 1,2-1-265,Supermercado,AR-R,Ameghino 1097,La Anonima,Cinco Saltos,S.A. Importadora y Exportadora de la Patagonia,2,265
