distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
475.2982,475.30 kilómetros,1,-29.14352,-59.65553,ACA RECONQUISTA,19-1-00907,Autoservicio,AR-S,Boulevard H. Yrigoyen Y P.Diez 0,FULL,RECONQUISTA,Operadora de Estaciones de Servicios S.A.,19,00907
475.9646,475.96 kilómetros,1,-31.874956,-62.726591,CDB - Las Varillas - Italia ,2009-1-47,Supermercado,AR-X,Italia 35,CETROGAR,Las Varillas,CETROGAR  S.A,2009,47
476.4023,476.40 kilómetros,1,-29.14804,-59.645261,SAFE-RECONQUISTA-OBLIG-MU,2011-1-6,Autoservicio,AR-S,Gral Manuel Obligado 1040,Musimundo,RECONQUISTA,Electronica Megatone S.A,2011,6
485.395,485.40 kilómetros,1,-32.171240,-64.113529,CDB - Rio Tercero - Libertad ,2009-1-52,Supermercado,AR-X,Libertad 349,CETROGAR,Rio Tercero,CETROGAR  S.A,2009,52
485.4729,485.47 kilómetros,1,-32.1719707,-64.1146506,Rio III,2005-1-40,Supermercado,AR-X,Libertad 256,Naldo,Rio Tercero,Naldo Lombardi SA,2005,40
485.4935,485.49 kilómetros,1,-32.1721,-64.1124,BAZAR AVENIDA SA - Rio Tercero,2008-1-8,Tradicional,AR-X,Libertad 240,MEGATONE,Rio Tercero,BAZAR AVENIDA S.A.,2008,8
485.7126,485.71 kilómetros,1,-32.1740,-64.1094,Rio Tercero II.,9-1-690,Supermercado,AR-X,Avenida Acuña Modesto 50,Vea,RIO TERCERO,Jumbo Retail Argentina S.A.,9,690
485.7512,485.75 kilómetros,1,-32.1744,-64.11141,CDBA-RIO TERCERO-VELEZ S-MU,2011-1-133,Autoservicio,AR-X,Velez Sarsfield 39,Musimundo,RIO TERCERO,Electronica Megatone S.A,2011,133
486.9544,486.95 kilómetros,1,-30.78718,-60.591992,SAFE-SAN JUSTO-IRIONDO-MU,2011-1-27,Autoservicio,AR-S,Avda Iriondo 2300,Musimundo,SAN JUSTO,Electronica Megatone S.A,2011,27
487.2499,487.25 kilómetros,1,-30.784910,-60.585480,SAN JUSTO,2-1-171,Supermercado,AR-S,9 De Julio 2530,La Anonima,San Justo,S.A. Importadora y Exportadora de la Patagonia,2,171
488.5994,488.60 kilómetros,1,-28.48857,-59.351178,SAFE-VILLA OCAMPO-SM-MU,2011-1-224,Autoservicio,AR-S,Avda Gral Jose De San Martin 1230,Musimundo,VILLA OCAMPO,Electronica Megatone S.A,2011,224
507.253,507.25 kilómetros,1,-26.537276,-59.342110,CHA - General San Martin - 9 de Julio,2009-1-74,Supermercado,AR-H,9 De Julio 501,CETROGAR,Gral. San Martin,CETROGAR  S.A,2009,74
507.6001,507.60 kilómetros,1,-26.534758,-59.339332,General San Martin,2000-1-280,Tienda Fisica,AR-H,9 De Julio 502,MUSIMUNDO,GRAL.SAN MARTIN,CARSA SA,2000,280
509.7822,509.78 kilómetros,1,-32.34621,-65.008993,SLUI-MERLO-AV SOL-MU,2011-1-198,Autoservicio,AR-D,Avda Del Sol 305,Musimundo,MERLO,Electronica Megatone S.A,2011,198
510.385,510.38 kilómetros,1,-31.896450,-61.860850,QUIJOTE SAN JORGE,2-1-156,Supermercado,AR-S,Bartolome Mitre 1143,La Anonima,San Jorge,S.A. Importadora y Exportadora de la Patagonia,2,156
511.4243,511.42 kilómetros,2,-29.154703,-59.272544,Goya,11-2-1074,Hipermercado,AR-W,Av.Pte.D.F.Sarmiento Y J.M.Soto None,Changomas,GOYA,Wal Mart Argentina S.R.L.,11,1074
511.6342,511.63 kilómetros,1,-29.1370,-59.2646,Goya II,9-1-688,Supermercado,AR-W,Belgrano Gral Manuel 799,Vea,GOYA,Jumbo Retail Argentina S.A.,9,688
511.7596,511.76 kilómetros,1,-29.129740,-59.260950,GOYA,2-1-206,Supermercado,AR-W,Av. Primeros Consejales 256,La Anonima,Goya,S.A. Importadora y Exportadora de la Patagonia,2,206
511.8667,511.87 kilómetros,1,-29.144334,-59.264473,CRR - Goya - Colon ,2009-1-28,Supermercado,AR-W,Colon 965,CETROGAR,Goya,CETROGAR  S.A,2009,28
511.9987,512.00 kilómetros,1,-29.143359,-59.262752,Goya,2000-1-72,Tienda Fisica,AR-W,Jose Gomez 867,MUSIMUNDO,GOYA,CARSA SA,2000,72
512.0779,512.08 kilómetros,1,-29.1452083,-59.2625031,1069 - GOYA,15-1-1069,Autoservicio,AR-W,España 347,Supermercados DIA,CORRIENTES,DIA Argentina S.A,15,1069
512.6093,512.61 kilómetros,1,-26.305358,-59.371595,El Colorado,2000-1-387,Tienda Fisica,AR-P,San Martin 100,MUSIMUNDO,EL COLORADO,CARSA SA,2000,387
